# a. Mult Mat x Mat»
2:	7.599999662488699e-06
7:	2.9799994081258774e-05
12:	0.00010910001583397388
17:	0.00028520001797005534
22:	0.0005676999862771481
27:	0.0009820000268518925
32:	0.0016181000100914389
37:	0.002435099973808974
42:	0.003495300014037639
47:	0.00473809998948127
52:	0.006407100008800626
57:	0.008427999971900135
62:	0.011034399998607114
67:	0.013776400010101497
72:	0.016975400008959696
77:	0.023415700008627027
82:	0.02492940000956878
87:	0.03255079998052679
92:	0.034771199978422374
97:	0.041010100016137585



# b. Mult Mat x Vec
2:	5.0000089686363935e-06
7:	3.400025889277458e-06
12:	6.099988240748644e-06
17:	1.0499992640689015e-05
22:	1.6400008462369442e-05
27:	2.3599975975230336e-05
32:	2.989999484270811e-05
37:	4.1099992813542485e-05
42:	5.679999594576657e-05
47:	6.409999332390726e-05
52:	7.650000043213367e-05
57:	9.259997750632465e-05
62:	0.00011130000348202884
67:	0.00013100000796839595
72:	0.00014730001566931605
77:	0.00017640000442042947
82:	0.0001922000083141029
87:	0.00021769999875687063
92:	0.000242499983869493
97:	0.0002717000024858862



# c. Mat Sp
2:	1.500011421740055e-06
7:	9.00006853044033e-07
12:	7.00005330145359e-07
17:	6.00004568696022e-07
22:	7.00005330145359e-07
27:	9.999785106629133e-07
32:	9.00006853044033e-07
37:	1.4999823179095984e-06
42:	1.4999823179095984e-06
47:	1.400010660290718e-06
52:	1.700012944638729e-06
57:	1.9000144675374031e-06
62:	1.9000144675374031e-06
67:	2.00001522898674e-06
72:	2.300017513334751e-06
77:	2.1999876480549574e-06
82:	2.3999891709536314e-06
87:	2.5999906938523054e-06
92:	2.800021320581436e-06
97:	2.9999937396496534e-06



# d. Dot Vec x Vec
2:	1.600012183189392e-06
7:	9.999785106629133e-07
12:	6.00004568696022e-07
17:	6.00004568696022e-07
22:	6.00004568696022e-07
27:	8.00006091594696e-07
32:	9.00006853044033e-07
37:	1.00000761449337e-06
42:	1.100008375942707e-06
47:	1.2999807950109243e-06
52:	1.400010660290718e-06
57:	1.500011421740055e-06
62:	1.700012944638729e-06
67:	1.800013706088066e-06
72:	1.800013706088066e-06
77:	2.100015990436077e-06
82:	2.100015990436077e-06
87:	2.1999876480549574e-06
92:	2.2999884095042944e-06
97:	2.3999891709536314e-06



# e. Histogram
2:	5.399982910603285e-06
7:	3.00002284348011e-06
12:	2.9999937396496534e-06
17:	2.4999899324029684e-06
22:	4.6000059228390455e-06
27:	4.7000066842883825e-06
32:	4.999979864805937e-06
37:	5.2000104915350676e-06
42:	7.199996616691351e-06
47:	7.399998139590025e-06
52:	7.800001185387373e-06
57:	9.100011084228754e-06
62:	8.500006515532732e-06
67:	1.0299991117790341e-05
72:	1.0399991879239678e-05
77:	1.200000406242907e-05
82:	1.300001167692244e-05
87:	1.3200013199821115e-05
92:	1.3999990187585354e-05
97:	1.550000160932541e-05



# f. Filter
5:	4.1000021155923605e-06
10:	3.1999952625483274e-06
15:	4.2000028770416975e-06
20:	5.1000097300857306e-06
25:	6.599992047995329e-06
30:	7.90000194683671e-06
35:	9.399984264746308e-06
40:	1.1800002539530396e-05
45:	1.37000170070678e-05
50:	1.270000939257443e-05
55:	1.4600023860111833e-05
60:	1.580000389367342e-05
65:	1.6900012269616127e-05
70:	1.8699996871873736e-05
75:	1.990000600926578e-05
80:	2.13000166695565e-05
85:	2.19999928958714e-05
90:	2.3100001271814108e-05
95:	2.4299981305375695e-05



